id,sec,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
247,494,14.712,54,14.82,0.09,0.09,NULL,NULL,308,-0.0136416,-0.904109,-0.0135333,3.71,37.5993803,126.8635668,NULL,NULL,-0.11,0.01,0,LOITER,498.286
248,496,14.7,54,14.84,0.1,0.1,NULL,NULL,308,-0.0189066,-0.905886,0.00238078,3.69,37.5993795,126.8635666,NULL,NULL,-0.06,0,0.02,LOITER,500.298
249,498,14.701,54,15.08,0.06,0.06,NULL,NULL,308,-0.0184085,-0.907352,0.00847677,3.71,37.5993794,126.8635666,NULL,NULL,-0.05,0.01,0,LOITER,502.31
250,500,14.693,54,14.63,0.05,0.05,NULL,NULL,308,-0.0277243,-0.906316,0.0102582,3.71,37.5993797,126.8635672,NULL,NULL,0,0.04,0,LOITER,504.32
251,502,14.7,54,14.94,0.1,0.1,NULL,NULL,307,-0.0431085,-0.912845,-0.0094169,3.71,37.5993807,126.8635662,NULL,NULL,0.08,-0.14,0,LOITER,506.333
252,504,14.697,54,14.68,0.13,0.13,NULL,NULL,308,-0.0266027,-0.905614,0.00301586,3.68,37.5993813,126.863566,NULL,NULL,-0.03,-0.05,0.05,LOITER,508.346
253,506,14.701,53,15.19,0.06,0.06,NULL,NULL,308,-0.0318257,-0.901125,-0.0133354,3.71,37.5993811,126.8635663,NULL,NULL,-0.05,-0.05,0,LOITER,510.36
254,508,14.697,53,14.87,0.16,0.16,NULL,NULL,308,-0.0142915,-0.901844,-0.0325982,3.71,37.5993808,126.8635657,NULL,NULL,0.06,-0.05,0,LOITER,512.373
255,510,14.697,53,14.54,0.09,0.09,NULL,NULL,308,-0.0171323,-0.906614,-0.00522849,3.71,37.599381,126.8635647,NULL,NULL,-0.06,-0.04,0,LOITER,514.389
256,512,14.697,53,14.59,0.23,0.23,NULL,NULL,308,0.0135002,-0.902897,-0.0150208,3.72,37.5993826,126.8635637,NULL,NULL,-0.01,-0.09,-0.01,LOITER,516.403
257,514,14.678,53,15.01,0.05,0.05,NULL,NULL,308,-0.0324646,-0.904016,-0.00389213,3.7,37.5993817,126.8635634,NULL,NULL,-0.01,-0.05,0,LOITER,518.413
258,516,14.67,52,14.93,0.08,0.08,NULL,NULL,308,-0.020729,-0.903654,-0.0131255,3.69,37.5993822,126.8635629,NULL,NULL,0.03,-0.06,0.03,LOITER,520.428
259,518,14.677,52,14.91,0.12,0.12,NULL,NULL,308,-0.0308034,-0.90534,0.00496068,3.73,37.599382,126.8635625,NULL,NULL,-0.05,0,0,LOITER,522.442
260,520,14.675,52,15.05,0.06,0.06,NULL,NULL,308,-0.03058,-0.908131,0.0046869,3.69,37.5993811,126.8635626,NULL,NULL,0.02,-0.01,0.03,LOITER,524.455
261,522,14.667,52,15.1,0.07,0.07,NULL,NULL,308,-0.024985,-0.903215,-0.00255073,3.69,37.599381,126.8635624,NULL,NULL,0.08,0,0.02,LOITER,526.468
262,524,14.66,52,15.03,0.03,0.03,NULL,NULL,308,-0.0236287,-0.906747,-0.00282849,3.72,37.599382,126.8635626,NULL,NULL,0,-0.04,-0.01,LOITER,528.481
263,526,14.661,52,15.36,0.14,0.14,NULL,NULL,308,0.0118143,-0.906624,-0.00167643,3.66,37.5993811,126.8635634,NULL,NULL,-0.02,0.04,0.06,LOITER,530.496
264,528,14.668,52,14.89,0.16,0.16,NULL,NULL,308,-0.0493555,-0.905088,-0.014091,3.68,37.5993801,126.863567,NULL,NULL,0.04,0.03,0.02,LOITER,532.509
265,530,14.652,51,14.93,0.14,0.14,NULL,NULL,308,-0.0320725,-0.907277,-0.0145593,3.7,37.5993784,126.863569,NULL,NULL,-0.09,-0.02,0.02,LOITER,534.524
266,532,14.664,51,15.33,0.09,0.09,NULL,NULL,308,-0.0247658,-0.907276,0.00276321,3.72,37.5993768,126.8635692,NULL,NULL,-0.03,-0.04,0,LOITER,536.539
267,534,14.646,51,14.93,0.05,0.05,NULL,NULL,307,-0.00351853,-0.927439,0.00156887,3.72,37.5993771,126.8635686,NULL,NULL,0,-0.04,0,LOITER,538.552
268,536,14.642,51,15.35,0.14,0.14,NULL,NULL,300,-0.0089382,-1.04375,-0.123773,3.7,37.5993783,126.8635681,NULL,NULL,-0.25,-0.12,0.01,LOITER,540.562
269,538,14.65,51,14.98,0.11,0.11,NULL,NULL,300,-0.0105226,-1.03959,0.00688385,3.74,37.5993753,126.8635672,NULL,NULL,-0.08,-0.07,0,LOITER,542.572
270,540,14.642,51,14.57,0.04,0.04,NULL,NULL,300,-0.00907388,-1.04696,-0.00426218,3.74,37.5993744,126.8635672,NULL,NULL,0.04,-0.01,-0.02,LOITER,544.588
271,542,14.636,50,15.41,0.1,0.1,NULL,NULL,300,-0.0101365,-1.03378,0.0184473,3.7,37.5993746,126.8635667,NULL,NULL,0.04,-0.03,0.01,LOITER,546.602
272,544,14.65,50,15.17,0.08,0.08,NULL,NULL,300,-0.0074568,-1.0351,-0.0131933,3.75,37.5993759,126.8635673,NULL,NULL,0.02,0.01,-0.03,LOITER,548.615
